,GM_Num,Date,Team,Home,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Time,Night,Attendance,Streak,Game_Win,Wins,Losses,Net_Wins,Win_Per,DayOfWeek,Year,Same_Mkt_Team,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,game_id,Date_Same_Mkt_Team,Team_Same_Mkt_Team,Net_Wins_Same_Mkt_Team,Win_Per_Same_Mkt_Team,Streak_Same_Mkt_Team,date_diff
977,7,2010-04-12,CHC,1,MIL,W,9,5,,3-4,3,2.0,2:59,0,41306,1,1,3,4,-1,0.42857142857142855,Monday,2010,CHW,1,0,0,0,0,0,0,CHC2010-04-12,2010-04-11,CHW,-2,0.3333333333333333,1,1
1141,8,2010-04-14,CHC,1,MIL,W,7,6,,4-4,3,2.0,3:04,0,39565,2,1,4,4,0,0.5,Wednesday,2010,CHW,0,0,1,0,0,0,0,CHC2010-04-14,2010-04-13,CHW,-2,0.375,-1,1
1304,9,2010-04-15,CHC,1,MIL,L,6,8,,4-5,3,2.0,3:29,0,38026,-1,0,4,5,-1,0.4444444444444444,Thursday,2010,CHW,0,0,0,1,0,0,0,CHC2010-04-15,2010-04-14,CHW,-1,0.4444444444444444,1,1
1467,10,2010-04-16,CHC,1,HOU,W,7,2,,5-5,2,2.0,2:24,0,37291,1,1,5,5,0,0.5,Friday,2010,CHW,0,0,0,0,1,0,0,CHC2010-04-16,2010-04-15,CHW,-2,0.4,-1,1
1630,11,2010-04-17,CHC,1,HOU,L,3,4,,5-6,3,2.0,2:40,0,40471,-1,0,5,6,-1,0.45454545454545453,Saturday,2010,CHW,0,0,0,0,0,1,0,CHC2010-04-17,2010-04-16,CHW,-3,0.36363636363636365,-2,1
1793,12,2010-04-18,CHC,1,HOU,L,2,3,10,5-7,3,3.0,2:54,0,39506,-2,0,5,7,-2,0.4166666666666667,Sunday,2010,CHW,0,0,0,0,0,0,1,CHC2010-04-18,2010-04-17,CHW,-4,0.3333333333333333,-3,1
3096,20,2010-04-26,CHC,1,WSN,W-wo,4,3,10,10-10,2,2.5,2:45,1,37850,4,1,10,10,0,0.5,Monday,2010,CHW,1,0,0,0,0,0,0,CHC2010-04-26,2010-04-25,CHW,-3,0.42105263157894735,3,1
3258,21,2010-04-27,CHC,1,WSN,L,1,3,,10-11,2,3.5,2:44,1,37440,-1,0,10,11,-1,0.47619047619047616,Tuesday,2010,CHW,0,1,0,0,0,0,0,CHC2010-04-27,2010-04-25,CHW,-3,0.42105263157894735,3,2
3421,22,2010-04-28,CHC,1,WSN,L,2,3,,10-12,3,4.5,2:21,0,36660,-2,0,10,12,-2,0.45454545454545453,Wednesday,2010,CHW,0,0,1,0,0,0,0,CHC2010-04-28,2010-04-27,CHW,-4,0.4,-1,1
3584,23,2010-04-29,CHC,1,ARI,L,5,13,,10-13,4,5.5,2:40,0,36850,-3,0,10,13,-3,0.43478260869565216,Thursday,2010,CHW,0,0,0,1,0,0,0,CHC2010-04-29,2010-04-28,CHW,-5,0.38095238095238093,-2,1
