,Attendance,Streak_Same_Mkt_Team
0,41306,1
1,39565,-1
2,38026,1
3,37291,-1
4,40471,-2
5,39506,-3
6,37850,3
7,37440,3
8,36660,-1
9,36850,-2
10,37800,1
11,40368,-1
12,38144,1
13,38266,-1
14,38007,-1
15,38637,1
16,39082,-1
17,41336,-2
18,40636,1
19,35760,-1
20,37029,-1
21,34749,1
22,35828,-1
23,33868,1
24,39536,-1
25,40601,1
26,41353,-1
27,41129,2
28,40397,3
29,40456,4
30,34390,-1
31,36244,1
32,36942,2
33,39729,3
34,40008,4
35,39850,5
36,38512,-1
37,36914,-2
38,37391,1
39,36880,-1
40,40361,-1
41,40677,1
42,41079,-1
43,40879,8
44,40622,9
45,40924,-1
46,39333,-2
47,35514,-3
48,36401,1
49,38533,2
50,40687,-1
51,41009,1
52,41406,-1
53,37731,1
54,36183,1
55,38425,-1
56,40696,2
57,41227,-1
58,39016,1
59,36814,-2
60,33664,-2
61,33267,-3
62,30687,-4
63,39345,1
64,41099,1
65,37518,-1
66,29538,-2
67,31369,1
68,33555,2
69,31424,3
70,39473,3
71,40788,4
72,31647,6
73,31596,7
74,33623,-1
75,36364,-7
76,37285,-8
77,34481,1
78,36553,1
79,39316,2
80,38057,3
81,35782,1
82,30857,2
83,26292,-1
84,27039,-1
85,32272,-2
86,36597,-4
87,35544,-6
88,36595,1
89,41161,-1
90,32943,-2
91,37417,-3
92,38261,1
93,35471,-2
94,37666,-3
95,31931,1
96,34249,3
97,34439,-1
98,32559,1
99,37433,1
100,39706,2
101,35707,-1
102,36666,1
103,33378,-1
104,34105,1
105,38413,-1
106,37464,-2
107,30450,-3
108,31178,1
109,31340,2
110,39070,2
111,39151,2
112,39821,2
113,40024,-1
114,42219,-2
115,42236,-3
116,41828,1
117,40854,-1
118,38360,-1
119,37221,-2
120,38158,1
121,41486,2
122,42165,3
123,42311,4
124,38145,-1
125,38391,-1
126,40709,1
127,37634,2
128,38183,-1
129,38857,1
130,37864,-1
131,39855,-2
132,40486,1
133,40406,1
134,42245,-6
135,41978,1
136,39619,2
137,37109,4
138,38010,5
139,34733,-1
140,42343,-2
141,42374,-3
142,39420,1
143,37061,2
144,36639,2
145,37098,-1
146,36136,-2
147,35153,-1
148,36628,-2
149,40469,-3
150,41341,-4
151,35297,2
152,36797,3
153,35318,-5
154,39377,-6
155,36250,-7
156,35076,1
157,36571,1
158,30965,1
159,40102,-1
160,31973,1
161,38136,-1
162,37265,1
163,34044,1
164,36311,2
165,37782,-1
166,38405,1
167,35801,2
168,37794,3
169,38894,4
170,34894,-1
171,37332,-2
172,39874,-3
173,38125,1
174,36307,-1
175,38523,-3
176,31904,1
177,38678,-1
178,37986,-2
179,34937,1
180,40228,2
181,38374,3
182,38452,5
183,35219,6
184,38516,7
185,41164,-1
186,41326,1
187,42292,-1
188,40073,-2
189,40766,-3
190,38531,1
191,34092,2
192,34064,-1
193,35837,1
194,32891,3
195,37906,4
196,37389,-1
197,36878,-1
198,38068,1
199,36659,-1
200,34397,-1
201,34934,1
202,32741,-1
203,40778,3
204,41276,4
205,39534,5
206,33337,-1
207,33158,-2
208,33014,1
209,33397,-2
210,36891,-2
211,40602,1
212,35461,-1
213,31452,1
214,33376,-1
215,33714,1
216,31255,3
217,35296,4
218,32346,5
219,32541,6
220,30017,-1
221,33271,-2
222,28859,1
223,32476,-1
224,32477,-2
225,39760,-3
226,26946,-2
227,32774,1
228,33559,2
229,33017,3
230,32547,4
231,31001,5
232,25891,-1
233,29100,-2
234,40298,-3
235,33354,-4
236,32167,-2
237,33168,1
238,27606,-1
239,40083,2
240,30065,2
241,25460,-2
242,30996,-3
243,34778,-4
244,33326,-5
245,29344,-1
246,26083,2
247,32169,-2
248,31303,-2
249,34832,-3
250,32865,1
251,32579,2
252,36455,2
253,33449,-1
254,32618,-2
255,30161,1
256,26354,-1
257,35080,1
258,38123,-1
259,38083,1
260,34890,3
261,38766,4
262,34258,-1
263,31279,-1
264,31968,-2
265,24645,-3
266,31465,-4
267,29667,-5
268,31614,-1
269,38405,-2
270,31858,1
271,28052,2
272,30937,3
273,24749,-1
274,28986,-1
275,33119,-3
276,38870,1
277,35121,2
278,38615,1
279,36590,-1
280,33146,-2
281,31579,-4
282,31111,1
283,35379,-1
284,37322,1
285,42240,1
286,35178,-1
287,32848,-3
288,34996,-4
289,29817,-5
290,34005,-6
291,32520,-7
292,40490,-8
293,38409,-9
294,33277,-1
295,33286,1
296,33642,2
297,35258,-2
298,41981,1
299,33830,2
300,31290,3
301,30975,3
302,31936,4
303,29393,5
304,27763,2
305,36410,-1
306,31859,-2
307,26978,-3
308,30024,-4
309,20696,-5
310,25351,-7
311,34929,-8
312,27802,-9
313,29539,-1
314,34612,-2
315,30515,-3
316,32289,1
317,34138,2
318,26171,-1
319,38283,-1
320,30651,-2
321,26712,-3
322,26177,-1
323,28247,1
324,25502,-1
325,28699,-2
326,32966,-3
327,27927,-4
328,32439,1
329,35381,2
330,32323,-1
331,33085,1
332,28160,-2
333,37874,-3
334,30023,-4
335,33146,1
336,34305,2
337,35771,1
338,36671,2
339,37631,-1
340,38753,1
341,34808,2
342,34697,-1
343,28185,1
344,28833,2
345,28495,2
346,33786,-1
347,33134,-2
348,36423,-1
349,36563,-2
350,33573,-3
351,27747,-4
352,28226,-5
353,28207,1
354,28867,-1
355,30683,-2
356,32267,1
357,39544,-2
358,36806,-3
359,36363,1
360,32730,1
361,30718,-1
362,31321,-2
363,41534,1
364,41927,2
365,35256,3
366,29702,-1
367,28590,-1
368,29491,1
369,35729,-1
370,34937,-3
371,36739,-4
372,33039,1
373,28927,-1
374,28819,-1
375,31191,1
376,38157,-1
377,31064,-1
378,30633,-2
379,30541,-3
380,33761,-3
381,37156,-4
382,32774,-5
383,32054,1
384,28434,1
385,31251,2
386,35541,-1
387,36867,-2
388,33894,-3
389,33144,-1
390,33812,-2
391,33500,1
392,33649,-1
393,33322,-1
394,34334,1
395,31933,-1
396,28893,1
397,29754,2
398,33292,-1
399,26814,-1
400,26390,2
401,27525,2
402,29205,3
403,32138,-1
404,33958,-2
405,29113,1
406,29159,2
407,29915,2
408,30634,2
409,31128,-2
410,34878,-3
411,33398,-4
412,32980,2
413,31542,-1
414,33709,1
415,31496,2
416,33617,2
417,38883,3
418,36289,4
419,38463,-2
420,30440,-3
421,34215,-4
422,34273,2
423,37766,-1
424,35031,3
425,40016,3
426,40693,-1
427,33201,-2
428,35914,-4
429,35147,2
430,36799,-1
431,36653,1
432,41498,-1
433,41212,2
434,37898,3
435,37764,4
436,37609,-1
437,35703,1
438,37993,-1
439,41580,2
440,41596,3
441,41688,4
442,41230,1
443,41683,2
444,41123,3
445,35070,4
446,36747,5
447,38874,6
448,41242,1
449,41311,1
450,41305,-1
451,39939,-2
452,37109,1
453,36438,2
454,40799,3
455,39684,-1
456,40310,-2
457,34633,-3
458,39211,1
459,41196,2
460,39581,3
461,36283,-1
462,34017,1
463,33756,1
464,31165,-1
465,36132,1
466,40690,2
467,41183,3
468,40846,-1
469,40994,-2
470,40962,1
471,34373,-1
472,36270,2
473,37559,-1
474,40432,-3
475,41150,1
476,40617,-1
477,40552,-2
478,40882,1
479,36496,2
480,34898,3
481,34437,4
482,41702,5
483,41678,-1
484,35861,4
485,32734,6
486,34007,-1
487,40164,1
488,37564,-1
489,39206,-2
490,40471,1
491,41233,2
492,34680,4
493,37828,-1
494,37479,-2
495,40953,1
496,40814,-1
497,38941,-3
498,41555,-4
499,41575,-5
500,41470,-6
501,34681,-7
502,36426,1
503,37422,2
504,38813,2
505,40415,-1
506,41596,-2
507,41547,1
508,41424,-1
509,41024,-2
510,41166,-3
511,41616,1
512,41058,2
513,41293,2
514,41310,3
515,41262,-1
516,41480,1
517,41482,-1
518,41346,-2
519,41213,-3
520,41353,-4
521,41456,-5
522,41210,1
523,41166,4
524,41157,-1
525,40951,-2
526,41401,-3
527,40952,1
528,40937,-1
529,40419,-1
530,41147,-2
531,41227,-1
532,41015,1
533,40597,-1
534,40848,-2
535,41278,1
536,41019,2
537,39420,-1
538,40310,-2
539,41407,1
540,38951,2
541,38174,-1
542,38137,-2
543,38536,-3
544,40818,-4
545,41250,1
546,41293,-1
547,41362,-1
548,40823,1
549,40956,2
550,41286,-1
551,39251,-2
552,40586,-3
553,40434,-4
554,40791,-5
555,40785,-6
556,40859,1
557,41166,-1
558,40844,-2
559,38379,1
560,40430,2
561,41814,3
562,39422,-1
563,38636,1
564,39026,-1
565,34864,1
566,38567,-1
567,38660,-2
568,39335,1
569,36394,-1
570,40395,1
571,40735,-1
572,40584,-2
573,40653,-1
574,38715,-2
575,36023,-3
576,36923,-4
577,41671,2
578,36204,3
579,32905,-1
580,35617,-2
581,37513,-3
582,41051,-2
583,41164,-3
584,39868,-4
585,34037,-5
586,34082,-5
587,37294,1
588,39385,-1
589,41229,-2
590,41226,-3
591,41116,1
592,40802,-1
593,41607,-1
594,41708,-2
595,42046,2
596,39855,-1
597,41576,-2
598,41294,-2
599,41865,-3
600,41604,1
601,42186,-6
602,41969,-7
603,41582,-8
604,40849,-9
605,40717,1
606,40709,2
607,41321,-1
608,39525,-2
609,41396,-3
610,41857,-4
611,41047,-5
612,40263,-2
613,36698,-2
614,37021,-3
615,38675,-4
616,41814,-5
617,41558,1
618,41459,-1
619,38453,1
620,37370,1
621,36628,-1
622,38031,-2
623,37280,-3
624,41329,-4
625,42145,1
626,41020,-4
627,41167,-5
628,40113,1
629,37834,3
630,36008,-1
631,37867,1
632,38464,2
633,40959,-1
634,37242,1
635,36258,2
636,41493,-1
637,40971,1
638,40144,-4
639,35596,-5
640,29949,1
641,29775,-1
642,36788,-1
643,35103,-2
644,29648,-4
645,37197,-2
646,35579,1
647,40147,2
648,40895,3
649,35922,-2
650,40077,-2
651,32909,-3
652,37333,-3
653,40051,-3
654,34486,-4
655,39585,-5
656,41099,-6
657,40537,-7
658,35946,1
659,37168,-1
660,39004,1
661,41177,-1
662,41250,-2
663,41587,1
664,40553,1
665,40275,1
666,40057,2
667,40097,-1
668,41045,1
669,40735,-1
670,40409,-5
671,41199,-6
672,41492,-1
673,40950,-2
674,40051,-3
675,38424,-1
676,40510,1
677,41434,-2
678,41538,-3
679,38655,-4
680,41406,1
681,41077,1
682,41244,-1
683,39737,1
684,40859,-1
685,40869,1
686,35548,2
687,38979,-1
688,40714,-3
689,40894,1
690,40855,2
691,41136,3
692,41531,-3
693,41320,1
694,36490,-1
695,40441,-3
696,39619,1
697,41130,1
698,37760,-1
699,41205,1
700,40331,2
701,38935,3
702,37017,4
703,33386,-1
704,38471,-5
705,37017,-6
706,40234,-7
707,36468,1
708,41196,2
709,41314,3
710,34570,-2
711,33443,-3
712,32874,1
713,38415,-1
714,39442,-1
715,40784,-3
716,39275,-4
717,38450,-5
718,40692,-2
719,32798,-4
720,31906,-5
721,30102,-5
722,38755,1
723,33938,-2
724,37667,1
725,38181,1
726,35536,1
727,35743,-1
728,35451,-2
729,34978,2
730,39601,-1
731,36499,-2
732,34555,-3
733,35274,1
734,37241,2
735,32301,-1
736,37870,-2
737,39598,-3
738,37267,1
739,37909,-1
740,36768,-2
741,39246,-3
742,37173,1
743,35266,2
744,40929,-1
745,40884,-2
746,39843,1
747,36753,1
748,35395,-1
749,36375,-2
750,40671,-2
751,41005,-3
752,39545,1
753,41192,-2
754,39776,1
755,38956,-1
756,41078,-1
757,41106,1
758,39077,-1
759,37603,-2
760,37333,-3
761,38017,-4
762,39823,1
763,40740,1
764,40286,-1
765,39291,-2
766,36935,-3
767,39788,-4
768,37260,-5
769,39526,-7
770,40314,1
771,39954,2
772,41424,-4
773,41186,1
774,40466,-1
775,40721,1
776,40627,2
777,41179,-1
778,36969,1
779,38619,-1
780,36366,1
781,39889,2
782,40658,3
783,40518,-1
784,40276,-3
785,40178,-4
786,40912,-5
787,39133,-6
788,33958,-7
789,39080,-2
790,39928,1
791,39103,-1
792,33753,-2
793,34267,-3
794,36578,-4
795,39524,1
796,39106,1
797,40071,2
798,38606,3
799,19514,-1
800,18637,-2
801,21416,1
802,28337,-1
803,25550,1
804,19260,-3
805,17023,-4
806,18207,1
807,24653,-1
808,25253,1
809,28274,2
810,21208,3
811,17517,3
812,21255,-1
813,20106,-2
814,20072,-3
815,24945,1
816,23850,-1
817,23271,3
818,23515,4
819,20652,-1
820,28462,-2
821,28298,1
822,20075,-2
823,19516,-3
824,20003,-3
825,20713,-3
826,30864,-4
827,27577,1
828,20776,1
829,21959,-1
830,26004,1
831,28773,1
832,27561,-1
833,31076,-2
834,39364,1
835,39479,-1
836,39682,-2
837,38092,-1
838,21889,1
839,21135,2
840,27734,3
841,25572,-1
842,32339,-2
843,29040,1
844,38815,-1
845,26080,1
846,25126,-1
847,28483,-2
848,29431,-2
849,35852,-3
850,32118,-4
851,30900,-4
852,32033,1
853,33237,-1
854,34834,-2
855,36548,-3
856,36287,1
857,26263,1
858,23733,2
859,23898,3
860,38596,3
861,38811,-1
862,39433,1
863,27009,-2
864,26389,1
865,23756,2
866,29223,1
867,30063,2
868,27180,3
869,28563,3
870,27828,4
871,25417,5
872,19750,-1
873,16982,1
874,32084,2
875,30854,-1
876,23128,1
877,23702,2
878,24539,3
879,38579,-1
880,20199,-1
881,26378,1
882,23436,-1
883,20057,-2
884,18020,1
885,16523,-1
886,20103,1
887,21250,-1
888,23458,1
889,21816,-4
890,26104,1
891,22029,2
892,18007,-1
893,20901,-2
894,18028,1
895,23048,-1
896,22437,-2
897,18580,-3
898,22077,1
899,24121,2
900,25519,-1
901,25081,1
902,23095,-3
903,31037,-4
904,25149,-5
905,23847,-6
906,21337,-7
907,21517,-8
908,22170,1
909,20166,2
910,24391,-1
911,22144,-2
912,36005,-2
913,35155,1
914,35403,-1
915,23856,-2
916,23008,1
917,24057,-1
918,31077,1
919,20695,-1
920,27233,-2
921,26395,-3
922,27737,1
923,30055,-1
924,30042,1
925,37110,3
926,28093,3
927,26978,-1
928,27513,-3
929,33919,-4
930,28278,-5
931,24142,1
932,21661,2
933,23873,3
934,28088,4
935,23130,2
936,24854,-1
937,25517,1
938,24695,3
939,25029,-1
940,27079,-2
941,28308,-2
942,30021,1
943,25033,2
944,24120,-4
945,21632,1
946,20346,2
947,22063,1
948,26711,1
949,26719,-1
950,22319,1
951,22750,2
952,25015,3
953,19010,-1
954,21744,1
955,26249,2
956,22018,-1
957,21320,-2
958,23934,-3
959,20524,1
960,38676,1
961,33025,2
962,25143,-1
963,13732,-2
964,11267,-2
965,13818,-3
966,11836,-4
967,20266,-1
968,20414,-1
969,20057,1
970,22811,-1
971,15212,-1
972,15192,-1
973,17314,1
974,19129,1
975,20066,-1
976,22636,-2
977,23538,1
978,21473,2
979,20026,-7
980,20064,-8
981,20167,-9
982,21371,-9
983,27151,-10
984,22182,-11
985,19168,3
986,26200,-1
987,23062,-2
988,23107,-4
989,25672,1
990,25743,-1
991,22452,-2
992,22880,-3
993,20398,-4
994,33215,-2
995,30282,1
996,32311,2
997,22798,-1
998,30337,-2
999,26545,-3
1000,30183,4
1001,30271,-1
1002,21288,1
1003,27129,-1
1004,25399,1
1005,27190,-1
1006,37788,-3
1007,34715,1
1008,32261,2
1009,32060,-2
1010,28571,-3
1011,30202,-4
1012,30097,-5
1013,27194,-6
1014,25151,-7
1015,25041,1
1016,26686,-1
1017,25106,-2
1018,27561,-1
1019,24247,-2
1020,26319,-3
1021,25058,-4
1022,27562,1
1023,23146,-1
1024,21676,-2
1025,15698,-3
1026,17336,-4
1027,26660,-6
1028,26227,1
1029,19356,2
1030,30287,3
1031,26504,4
1032,30667,-1
1033,29130,1
1034,20206,-2
1035,13797,-2
1036,20166,-3
1037,18630,-4
1038,25264,-5
1039,26559,-6
1040,26831,-7
1041,14213,1
1042,15036,-1
1043,15312,1
1044,22461,-1
1045,18708,-2
1046,22417,-1
1047,19587,-2
1048,14950,-3
1049,16765,1
1050,15056,-1
1051,20008,1
1052,25270,2
1053,22677,3
1054,22638,-1
1055,28774,-2
1056,22088,1
1057,21816,-1
1058,21984,-1
1059,21298,-2
1060,20393,-4
1061,23705,-5
1062,25464,-6
1063,30631,1
1064,21156,1
1065,22861,1
1066,23735,-1
1067,31033,-2
1068,18126,1
1069,20700,-1
1070,20787,1
1071,18249,-1
1072,28628,2
1073,26289,-1
1074,27032,1
1075,19746,2
1076,26001,-1
1077,21321,1
1078,31552,2
1079,25613,-1
1080,27294,1
1081,27729,-1
1082,23195,-2
1083,25919,1
1084,26793,-1
1085,30348,1
1086,18342,-1
1087,26172,1
1088,24079,2
1089,27948,-4
1090,23826,-4
1091,25707,-5
1092,23804,-1
1093,24529,1
1094,26344,2
1095,19590,-1
1096,22292,-2
1097,20058,-3
1098,31891,-3
1099,22079,-4
1100,25960,1
1101,13404,-1
1102,15491,-2
1103,15961,1
1104,17193,-2
1105,19172,1
1106,15799,2
1107,14375,-1
1108,15533,-2
1109,28024,1
1110,18631,-1
1111,15018,-2
1112,15964,-3
1113,14520,-4
1114,19122,-1
1115,16434,1
1116,24474,1
1117,22235,-1
1118,22633,-2
1119,10625,-1
1120,11056,-2
1121,11116,1
1122,13605,-1
1123,27332,1
1124,14281,-1
1125,13402,-2
1126,13302,-2
1127,17454,-4
1128,17210,-2
1129,22412,-3
1130,17313,-4
1131,11268,1
1132,17023,1
1133,15157,-1
1134,21075,-3
1135,26332,-4
1136,19118,1
1137,24634,-1
1138,18612,-2
1139,21677,-1
1140,27091,1
1141,33413,-1
1142,39142,1
1143,17075,-1
1144,14237,1
1145,14228,-1
1146,25342,-2
1147,19025,-3
1148,23185,1
1149,18803,-1
1150,18424,1
1151,20626,-1
1152,22773,-2
1153,24527,1
1154,29152,-1
1155,25278,2
1156,20059,-1
1157,20233,1
1158,18207,2
1159,30297,3
1160,23113,4
1161,23257,-1
1162,28777,-2
1163,28210,-3
1164,26256,-4
1165,18888,-5
1166,20428,-5
1167,23811,1
1168,28060,1
1169,27446,2
1170,23471,-1
1171,17040,1
1172,21827,1
1173,18898,2
1174,22739,-1
1175,29420,-2
1176,25761,-3
1177,17686,1
1178,13307,2
1179,15137,3
1180,12462,3
1181,11976,4
1182,13016,-1
1183,17071,-2
1184,20556,1
1185,26336,2
1186,15517,-3
1187,12150,-4
1188,15046,-5
1189,12314,-6
1190,20106,-7
1191,17044,1
1192,19587,2
1193,27416,2
1194,38160,3
1195,32266,-1
1196,38533,1
1197,22317,-1
1198,23057,1
1199,13055,-1
1200,14032,1
1201,14429,2
1202,14218,-1
1203,20350,-2
1204,23317,1
1205,16351,-3
1206,18268,-4
1207,20081,1
1208,27980,1
1209,20123,-1
1210,17712,-1
1211,15681,-1
1212,15146,-2
1213,18321,1
1214,21067,2
1215,38714,-1
1216,30180,1
1217,24761,1
1218,28368,-1
1219,29059,1
1220,17352,2
1221,18439,2
1222,17455,-1
1223,19194,-1
1224,21296,1
1225,22864,-1
1226,25738,-2
1227,33668,1
1228,27384,3
1229,22559,-1
1230,22519,1
1231,24593,2
1232,17028,-1
1233,17032,2
1234,23298,-1
1235,25807,1
